id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -8.384385784544847 0.21879207762072783 -9.332757654829106 0.21744254771490404 -10.212402583541792 0.21787881290036923 -10.549333936432912 0.21819232440307212
0100 0.0 -8.496645725791826 0.21849055276782184 -9.511698098543707 0.21736123989062314 -10.473125382991359 0.2176026375038812 -10.797011898009966 0.21781255115181325
0200 0.0 -9.176967903494933 0.2175439158932619 -9.991305829164038 0.21723809984580653 -10.993594201556732 0.2173247520099893 -11.283032622000327 0.2174220876521638
0300 0.0 -8.904900997785141 0.21779205902602267 -9.962807548738525 0.21724281502316273 -10.85848403685388 0.21737378332298443 -11.13036240364098 0.21750991193105212
0400 0.0 -9.040705326564364 0.21765299542782215 -10.093443214847241 0.2172230649765953 -10.963951652013641 0.2173345018343245 -11.203814557106348 0.21746460033359466
0500 0.0 -9.337648579756955 0.2174454723308622 -10.389860679198943 0.21719226787157248 -11.30943541934974 0.2172478629586629 -11.505959231062906 0.21733075048926864
0600 0.0 -9.175437795365099 0.21754500607285832 -10.42093844548361 0.21718988957475996 -11.344547562077025 0.2172417324831404 -11.540795168392087 0.2173195441796275
0700 0.0 -9.303714632433199 0.2174639599129956 -10.567266358544302 0.2171803080090575 -11.532468692369022 0.21721480341227117 -11.77096337853169 0.21726097361698016
0800 0.0 -9.433995169514155 0.2173987593908283 -10.697559664526487 0.2171736457987014 -11.676282497445726 0.21719957038762736 -11.896398215166549 0.21723800098786494
0900 0.0 -9.59171165570423 0.21733779492126862 -10.866288098531136 0.21716702059462617 -11.845417816642865 0.21718604976317743 -12.071967305944312 0.21721349230814507
1000 0.0 -9.737681991016721 0.2172948522330192 -11.018024113392435 0.21716253528333124 -12.02083215586904 0.21717576268375416 -12.241730351757692 0.21719617272255753
1100 0.0 -9.953724336322281 0.21724871509101487 -11.156570902234499 0.21715936329468186 -12.105635590840436 0.2171718374357823 -12.313313659818384 0.21719032232055602
1200 0.0 -10.18097858881088 0.2172159779957921 -11.297581228100086 0.21715683397988222 -12.20523609040552 0.21716792691011974 -12.430135805124344 0.2171822601423794
1300 0.0 -9.977069651663662 0.21724471286150895 -11.258147273250248 0.21715748003495014 -12.225884212253035 0.2171671996778194 -12.466824536886598 0.21718005943934113
1400 0.0 -9.996712123532465 0.21724147134928123 -11.268526905100664 0.2171573057330341 -12.244801430564763 0.21716655653576258 -12.476332977609065 0.21717951247808376
1500 0.0 -10.053803981628825 0.2172326649916633 -11.30948285018571 0.21715664759372513 -12.26536742990604 0.21716588146215396 -12.493357969488482 0.2171785561818521
1600 0.0 -10.019989211624129 0.21723777331124583 -11.252208587180661 0.21715758124643675 -12.232242509552826 0.21716698108824978 -12.48454000052186 0.21717904785653333
1700 0.0 -9.911846900791552 0.21725632712985254 -11.200698940940924 0.21715850408728773 -12.19763597857888 0.21716820141227042 -12.428264089079555 0.21718237630128467
1800 0.0 -9.968605452290749 0.21724614549773055 -11.179422457222838 0.21715891016253644 -12.140514265985438 0.21717038817404544 -12.376290446983923 0.21718576559004873
1900 0.0 -10.188835742494003 0.2172150616351288 -11.18466714503603 0.21715880838151175 -12.061191966152549 0.21717382014958364 -12.300379467255112 0.21719132407557748
2000 0.0 -13.599605295285691 0.21714779071445736 -13.594618620008049 0.21714759054912905 -13.48388345045531 0.2171497100308656 -13.35421545297077 0.21715428555437846
