id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -7.003486808651566 0.04786002214677812 -8.020076591256288 0.019052596063713078 -8.93679272553549 0.02895049523554367 -9.274742485406446 0.03455820635900439
0100 0.0 -6.969038347248876 0.04937443340074393 -8.074261825672139 0.018147841740486694 -9.098414182870762 0.024997308884312213 -9.307538911985887 0.03353929578144786
0200 0.0 -7.160529310394157 0.04153369669094348 -8.201241682670286 0.016196174855718823 -9.124391872629278 0.02441505495607421 -9.339416460973059 0.032577976989098756
0300 0.0 -7.209506623014331 0.039740031843894276 -8.276612203785636 0.015141113732646046 -9.224644063351153 0.022294014061570465 -9.49496827553713 0.028271290778085018
0400 0.0 -7.266528547383231 0.037751668821653976 -8.38985403033951 0.013687294035215092 -9.334022081486914 0.020417990968696505 -9.587374436118502 0.025990168657994413
0500 0.0 -7.516169169039642 0.030176780563930673 -8.5364882046003 0.012016416711571524 -9.492383877836211 0.018781713492645513 -9.793811323289447 0.0215439814169429
0600 0.0 -7.428062974774985 0.032654273906757805 -8.575416203097326 0.011609407873739453 -9.534921388509083 0.0168434330986886 -9.783224470885088 0.021752028114129456
0700 0.0 -7.448820484749856 0.03205241391762928 -8.690559886873714 0.010487366847831104 -9.702811127129408 0.014482480311570244 -9.961062952493066 0.018512716137010065
0800 0.0 -7.5101419535039255 0.03033967625528659 -8.746736809749471 0.009981557089973163 -9.678097123897146 0.014807532961942567 -9.885599246804588 0.01982277150300948
0900 0.0 -7.653780441335115 0.026688029950897155 -8.875547152757427 0.008915783823639703 -9.843155183681173 0.012770432205706742 -10.109556828419265 0.016185956778213433
1000 0.0 -7.773565360578512 0.023991229973500283 -8.977200804652885 0.008159376576824638 -9.974953878177239 0.011351998181673104 -10.186511593138583 0.015099690260154609
1100 0.0 -7.805460080164188 0.023321638614160704 -9.086434714682827 0.007421510673787115 -10.05468085735383 0.010573841668207129 -10.239612501647503 0.014393752646640732
1200 0.0 -7.880421055903739 0.021823186178687365 -9.172815639698708 0.006888152893627692 -10.169911773048891 0.009545325424128002 -10.376679185079205 0.012723315546375728
1300 0.0 -7.937871395445523 0.020742990174912726 -9.228299148845096 0.006567196763753585 -10.205951284107613 0.009245388016583528 -10.443376947785385 0.011983622520923665
1400 0.0 -8.089112922882578 0.0181573913683441 -9.343576389714165 0.005950338541241754 -10.307546479181383 0.00845150525861973 -10.527579062889053 0.011112350452598846
1500 0.0 -8.107292433758463 0.017870274611077618 -9.391938449214038 0.005710329573138174 -10.37525815928678 0.007962103191350807 -10.598411517305859 0.01042995321300955
1600 0.0 -8.237878095089986 0.01594145876998202 -9.489992461735945 0.005255084384334636 -10.468244174132728 0.007337770502608178 -10.697395016164464 0.009547831715715455
1700 0.0 -8.342356004333542 0.014556731661432497 -9.607817807657742 0.004759380852049315 -10.563707581963467 0.006749936764146873 -10.80203001453463 0.008698714113631462
1800 0.0 -8.390764884994045 0.013958788363056357 -9.660550041678185 0.004554236433176062 -10.62672609687856 0.006389212893827875 -10.868562966238759 0.00819979274662768
1900 0.0 -8.439451033851 0.013383652246666997 -9.725681909997455 0.004314084558310977 -10.698597256680706 0.00600248886993365 -10.924361176693118 0.007804274182353673
2000 0.0 -8.463785945777097 0.01310554337775734 -9.760342946124965 0.004191969009437616 -10.725793667300056 0.005862672129464283 -10.917760180874673 0.00785001146859629
2100 0.0 -8.632065403017453 0.011343620044982758 -9.867111325051333 0.0038391493393744114 -10.80886125517047 0.005456597442641676 -11.030626823559793 0.007104904061737694
2200 0.0 -8.560706846089904 0.012057768495144932 -9.835500386525219 0.003940068932654126 -10.832650762733657 0.0053458985848245325 -11.041206931381268 0.007038939663792882
2300 0.0 -8.57563396442373 0.011904574966149923 -9.87654119683744 0.003809612241649984 -10.857920164919541 0.005230920978909653 -11.08310591485207 0.006783926851782398
2400 0.0 -8.550314769310763 0.012165730326762656 -9.88450431415377 0.00378486176047223 -10.866338042597583 0.005193202983122751 -11.079105902987944 0.006807841506603844
2500 0.0 -8.64475437805584 0.01122152212493319 -9.909915359336914 0.003707047723758896 -10.891042160063876 0.005084180560168294 -11.128200288534618 0.006520216020219039
2600 0.0 -8.881063528768756 0.009187449264332265 -10.035016361961716 0.0033490826473926796 -10.963983481642611 0.0047763342050837244 -11.195173834238453 0.006148175002620865
2700 0.0 -8.979286769902977 0.008463093321344187 -10.123184594474367 0.003120078198795386 -11.008102332016989 0.004599866173642206 -11.235810856389783 0.005933348674543488
2800 0.0 -8.856070570734804 0.009382534422353817 -10.055567498820047 0.003294074278360119 -10.963857130013409 0.004776849019533706 -11.171046279338185 0.006279577586328634
2900 0.0 -8.789072738017346 0.00992751691015965 -10.0208971526461 0.0033874810164833576 -10.950781279590487 0.004830539567605111 -11.164181247792133 0.006317493616878572
3000 0.0 -8.72005776273263 0.010524972728494276 -9.980137107712942 0.0035011313837571482 -10.938237149578253 0.004882643809919163 -11.161461639473874 0.006332585770409144
3100 0.0 -8.61578785586778 0.011502473011879871 -9.907206856653367 0.0037152497505692065 -10.907999382943043 0.00501076229949597 -11.130719634641174 0.006505800449974576
3200 0.0 -8.578333945389609 0.011877122987531671 -9.910356392029428 0.0037057172544245637 -10.895540342102777 0.005064596844111784 -11.151982067785994 0.0063854827840610405
3300 0.0 -8.636828172258966 0.01129767819172909 -9.929852781569828 0.003647250629867406 -10.90347581249679 0.005030235489767371 -11.137279307127475 0.006468421748723814
3400 0.0 -8.685707302462795 0.010836817349139185 -9.896701301846516 0.003747281833328219 -10.859242533612353 0.0052249665664365185 -11.077447902745327 0.006817782003127923
3500 0.0 -8.883924351201404 0.009165500041390877 -9.979896420593587 0.0035018110682068725 -10.89961964113293 0.005046907245640495 -11.12648180167346 0.0065300573502427945
3600 0.0 -8.756113213327929 0.010208231208907712 -9.89046351038202 0.003766454805570368 -10.823295889845262 0.005389145183524594 -11.065240687207854 0.006891466688181524
3700 0.0 -8.59887463261769 0.011669904600999668 -9.799722987508254 0.00405781935703756 -10.808602370236414 0.005457804434616719 -11.054862435808701 0.006954744359977037
3800 0.0 -8.45023975264257 0.013259517780732368 -9.62880651286801 0.004676531652826977 -10.649104832501262 0.006266044507817148 -10.923890714787902 0.007807523172414494
3900 0.0 -8.372021338540325 0.014187083189968513 -9.530536763614357 0.005078452116065972 -10.559797361931011 0.006773014852476324 -10.791673877045088 0.008779156321180965
4000 0.0 -8.355319494455223 0.01439406101018182 -9.516986799173331 0.005136774670119808 -10.491385325374871 0.007190512814031795 -10.714491292696163 0.009403454474678224
4100 0.0 -8.458845863350497 0.01316143557455007 -9.592168262717415 0.004822180277121573 -10.499518526434468 0.0071394849840597015 -10.709623123829147 0.0094443280841429
4200 0.0 -8.186257066469409 0.016676142407664605 -9.403917356510433 0.005652488866101874 -10.381479748472668 0.007918628825663823 -10.597164182621142 0.010475251294828052
4300 0.0 -8.098972563455124 0.01800078659620386 -9.311387829587758 0.006116083357004743 -10.278896970374092 0.008667918874859933 -10.444815433629259 0.01210105445294795
4400 0.0 -8.010537584263862 0.01945583930439793 -9.249894302117593 0.006446636335721915 -10.193207664490629 0.009350335509562107 -10.393527319247433 0.0125321711895486
4500 0.0 -8.06044944633173 0.018620162148794073 -9.24647432044836 0.0064655711854224385 -10.273581045216037 0.008708714229367934 -10.454310236083572 0.011866637330160124
4600 0.0 -7.845433450289249 0.022509816640617793 -9.0787777976965 0.0074708475823686065 -10.058603262717625 0.010536997725955679 -10.315081648924341 0.013447992993265333
4700 0.0 -7.918051878181917 0.021109231774595064 -9.022269490373969 0.007845953953912358 -9.963642868148398 0.011467094427331534 -10.171394484987523 0.015307046316492493
4800 0.0 -7.699891835494814 0.02561473637247868 -8.8960817956951 0.00875726417823187 -9.860677447955641 0.012571803280864867 -10.05929089173484 0.0169382444598982
4900 0.0 -7.7971617902673565 0.023494047090269397 -8.90582245676547 0.008683100181645517 -9.779972921817919 0.013513928592666145 -9.991264504640508 0.018013388412271902
5000 0.0 -7.894911406302153 0.02154541700981696 -8.931658770669522 0.008489555375982004 -9.78333271234898 0.013473270368062321 -9.996696233525661 0.017925041848714903
