id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -7.003486808651566 0.22235895748270085 -8.020076591256288 0.21798148010707352 -8.93679272553549 0.219068608949997 -9.274742485406446 0.219879953337395
0100 0.0 -6.969038347248876 0.22268982672441048 -8.074261825672139 0.21790426432895071 -9.098414182870762 0.2185813114252021 -9.307538911985887 0.21972211680761433
0200 0.0 -7.160529310394157 0.22108363171822276 -8.201241682670286 0.21775040834143225 -9.124391872629278 0.21851548952285188 -9.339416460973059 0.2195774324415096
0300 0.0 -7.209506623014331 0.22075369619523294 -8.276612203785636 0.2176744761747881 -9.224644063351153 0.21828867885412878 -9.49496827553713 0.21897988522958564
0400 0.0 -7.266528547383231 0.22040442997300055 -8.38985403033951 0.21757818427156225 -9.334022081486914 0.218105063233528 -9.587374436118502 0.21869708072988642
0500 0.0 -7.516169169039642 0.2192340355376124 -8.5364882046003 0.21747946690087688 -9.492383877836211 0.21795797075267354 -9.793811323289447 0.2182133529099378
0600 0.0 -7.428062974774985 0.2195887653257357 -8.575416203097326 0.217457358128168 -9.534921388509083 0.21779950755558072 -9.783224470885088 0.21823399134869284
0700 0.0 -7.448820484749856 0.21950007173313293 -8.690559886873714 0.2174003429535116 -9.702811127129408 0.2176296544335778 -9.961062952493066 0.21793495569016225
0800 0.0 -7.5101419535039255 0.21925651691153691 -8.746736809749471 0.21737652986199743 -9.678097123897146 0.21765152718352904 -9.885599246804588 0.21805014680793955
0900 0.0 -7.653780441335115 0.21878111252017038 -8.875547152757427 0.2173301991304783 -9.843155183681173 0.2175224314677087 -10.109556828419265 0.21774964856396362
1000 0.0 -7.773565360578512 0.21846854091274753 -8.977200804652885 0.21730048246385902 -9.974953878177239 0.21744376770930957 -10.186511593138583 0.21767159874190312
1100 0.0 -7.805460080164188 0.21839602349986362 -9.086434714682827 0.21727402760934084 -10.05468085735383 0.21740453164671564 -10.239612501647503 0.21762376793024274
1200 0.0 -7.880421055903739 0.2182410953690737 -9.172815639698708 0.21725646343248217 -10.169911773048891 0.2173569356849603 -10.376679185079205 0.21751967040108375
1300 0.0 -7.937871395445523 0.21813572814717905 -9.228299148845096 0.2172465243133646 -10.205951284107613 0.21734397036145414 -10.443376947785385 0.21747765738490807
1400 0.0 -8.089112922882578 0.2179050598637092 -9.343576389714165 0.21722875219836543 -10.307546479181383 0.21731164762626035 -10.527579062889053 0.21743138822507857
1500 0.0 -8.107292433758463 0.21788132312701516 -9.391938449214038 0.21722231035678016 -10.37525815928678 0.21729316450393277 -10.598411517305859 0.21739758089024136
1600 0.0 -8.237878095089986 0.21773161084375992 -9.489992461735945 0.21721081963104405 -10.468244174132728 0.2172711833834676 -10.697395016164464 0.2173570457642795
1700 0.0 -8.342356004333542 0.21763460820734928 -9.607817807657742 0.21719939216995596 -10.563707581963467 0.21725212518919912 -10.80203001453463 0.21732140225972718
1800 0.0 -8.390764884994045 0.2175954319958672 -9.660550041678185 0.21719499377838508 -10.62672609687856 0.21724121684041942 -10.868562966238759 0.21730200379653916
1900 0.0 -8.439451033851 0.21755929398755453 -9.725681909997455 0.21719009088464356 -10.698597256680706 0.21723018695737742 -10.924361176693118 0.2172874385426291
2000 0.0 -8.463785945777097 0.2175423625874504 -9.760342946124965 0.21718769959894035 -10.725793667300056 0.2172263685131275 -10.917760180874673 0.21728908608800526
2100 0.0 -8.632065403017453 0.21744333047630685 -9.867111325051333 0.21718117625741298 -10.80886125517047 0.21721578835009786 -11.030626823559793 0.2172634435762951
2200 0.0 -8.560706846089904 0.21748175563477956 -9.835500386525219 0.21718298367067695 -10.832650762733657 0.21721303571513081 -11.041206931381268 0.2172612964255115
2300 0.0 -8.57563396442373 0.21747331596779443 -9.87654119683744 0.217180656132942 -10.857920164919541 0.21721023637754983 -11.08310591485207 0.2172531839040197
2400 0.0 -8.550314769310763 0.21748776804061185 -9.88450431415377 0.21718022338935317 -10.866338042597583 0.21720933131458092 -11.079105902987944 0.21725393197565493
2500 0.0 -8.64475437805584 0.2174369950392615 -9.909915359336914 0.21717888123786275 -10.891042160063876 0.21720675207016898 -11.128200288534618 0.21724510919662562
2600 0.0 -8.881063528768756 0.21734151346875302 -10.035016361961716 0.21717306602680392 -10.963983481642611 0.2171997643215621 -11.195173834238453 0.21723426136032575
2700 0.0 -8.979286769902977 0.21731209860812917 -10.123184594474367 0.2171696552027241 -11.008102332016989 0.217195955353038 -11.235810856389783 0.21722828747517478
2800 0.0 -8.856070570734804 0.21734984749267738 -10.055567498820047 0.2171722246933406 -10.963857130013409 0.2171997756432057 -11.171046279338185 0.21723802003232812
2900 0.0 -8.789072738017346 0.217374055132863 -10.0208971526461 0.217173661571887 -10.950781279590487 0.21720096308584286 -11.164181247792133 0.2172391193558443
3000 0.0 -8.72005776273263 0.2174021603016838 -9.980137107712942 0.2171754640236088 -10.938237149578253 0.2172021281283358 -11.161461639473874 0.21723955877197657
3100 0.0 -8.61578785586778 0.21745167540925614 -9.907206856653367 0.21717902139390116 -10.907999382943043 0.217205045962854 -11.130719634641174 0.21724467701740902
