id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -8.467745805311559 0.024831512231492502 -9.391717595584666 0.010742216996438729 -10.321115853732024 0.01615750549725117 -10.638911620456724 0.0196532122726369
0100 0.0 -8.7960869427057 0.01846601596905261 -9.72414425043631 0.007970507730695749 -10.67111518212328 0.011755809122438928 -10.98116154188228 0.014381857501623064
0200 0.0 -9.203130502876668 0.012829012544711966 -10.061036641801131 0.005905862023300025 -11.048605936668444 0.008357152301013542 -11.326759135102236 0.010503619092618568
0300 0.0 -8.868691195579874 0.017299935441359424 -9.990291902135453 0.006288028614392807 -10.862298379562318 0.009887409023421013 -11.126938221043165 0.01259453900017664
0400 0.0 -9.223718318587036 0.01259621805684577 -10.23638821241158 0.005059245578713939 -11.154622561397666 0.007596691775613117 -11.371708212718303 0.010083989256073601
0500 0.0 -9.267324621857561 0.012117507605608462 -10.430251659594212 0.004269105722354597 -11.33978420838784 0.0064340905075558905 -11.52592085784958 0.00876937656291641
0600 0.0 -9.225436863678851 0.012577076281211285 -10.482591466630701 0.004078826298371616 -11.42529801157933 0.0059605042165636465 -11.642571573949816 0.007891863485856304
0700 0.0 -9.361228898857387 0.011149397705915855 -10.632822487794286 0.0035808055518834958 -11.61075488646788 0.005052924157499679 -11.852167779719196 0.006533573779262484
0800 0.0 -9.491331944554872 0.009938819983556146 -10.772742821668924 0.003174788246525136 -11.75196962271454 0.004458553911111446 -11.964612461361156 0.005905955533379383
0900 0.0 -9.709989907417068 0.008203953329165651 -10.970131969752458 0.0026836755016934237 -11.959131601641996 0.0037150479699207613 -12.190016611314675 0.004827550567587738
1000 0.0 -9.768257981190409 0.0077974313610833694 -11.056899625747562 0.0024943098180544225 -12.047875806319421 0.0034373806970441727 -12.25904293440066 0.004539610444504375
1100 0.0 -10.226300422990107 0.0052576220895138494 -11.293966218943162 0.0020472446028773398 -12.179081133550227 0.00306617171834064 -12.384994453584117 0.004059093848024804
1200 0.0 -9.974977706564982 0.006518739990345066 -11.238047414841148 0.0021441708225928124 -12.20848550592618 0.00298893638460397 -12.447556157698926 0.00384032442761626
1300 0.0 -9.97667155372001 0.006509244961667754 -11.251465718554073 0.002120464071058027 -12.227017138367188 0.002941322888210016 -12.469797479871339 0.00376553543329517
1400 0.0 -10.049075804181275 0.006116285273388364 -11.313087925239735 0.002015229690382774 -12.269762560322853 0.002834526310918537 -12.492183261629819 0.0036917828011699527
1500 0.0 -10.038068725299325 0.0061743719702323325 -11.274569835571228 0.0020803138790920265 -12.242536902627219 0.002902063165950822 -12.489651564728511 0.0037000515628815575
1600 0.0 -9.956105050578813 0.0066256701527578786 -11.222106959060334 0.002172714455841776 -12.217567132232688 0.002965499597386775 -12.459880616381252 0.0037986905336057203
1700 0.0 -9.941660975732994 0.006708811524933285 -11.19892068429997 0.002214982869198683 -12.174605760787617 0.0030781125141504497 -12.399694476746877 0.004006552536271749
1800 0.0 -9.96191416142716 0.00659255202232955 -11.142357442824402 0.0023219138017586943 -12.10565762044537 0.0032683795242798895 -12.347600164765836 0.004195990945813045
1900 0.0 -9.239443646864565 0.008580914439161966 -10.26024052203817 0.0034671051123356315 -11.14827211555675 0.0052089006534815786 -11.387620931755492 0.006709203009200838
2000 0.0 -9.135019794833031 0.009977744515925441 -10.152778275192638 0.004023511113028466 -11.12275110205234 0.005676532788310303 -11.367389543912097 0.007295938852699343
2100 0.0 -9.588266225715 0.009126555453720432 -10.752811093417982 0.0032294928856369054 -11.701159216679564 0.004663576259784622 -11.966808819030003 0.0058943318886067525
2200 0.0 -9.629227357462266 0.008804524194223015 -10.75284797325969 0.0032293888271721313 -11.662497755859341 0.004826124670758869 -11.858168464027823 0.006498418860616656
2300 0.0 -9.279692313858078 0.011985120452676332 -10.465323628781722 0.004140608648201269 -11.410376966708409 0.006040485129474292 -11.613765013608997 0.008099880284578028
2400 0.0 -9.743119087658112 0.007969646079362298 -10.85940020616028 0.0029479578699444205 -11.778872535866455 0.004353408358934141 -11.918741869248613 0.00615403815031003
2500 0.0 -9.394659918661976 0.010823902971962332 -10.53040172781634 0.003912591480350345 -11.399723327934325 0.006097889301516875 -11.555909838628509 0.008534608644758112
2600 0.0 -8.936400094463067 0.016280521119372445 -9.938971089645747 0.00658124237800651 -10.858369105292692 0.009922615148664292 -11.052422998858688 0.013478173912125854
2700 0.0 -8.678626575154624 0.02052561380262105 -9.766949307411153 0.007671372131493651 -10.696753885163673 0.011485754077554963 -10.955988536405709 0.014715526996864122
2800 0.0 -8.541677176860432 0.02322609874526958 -9.624232903394471 0.008716395298225502 -10.547943844250781 0.01314597521830405 -10.82546384228651 0.01657532307568032
2900 0.0 -8.354103035982213 0.027522688769299055 -9.422552162920443 0.010447988102997591 -10.337015586678465 0.01592527718819097 -10.602801944775777 0.02031250382469624
3000 0.0 -8.241103093377149 0.030493216240040866 -9.264249453291544 0.01205123230890686 -10.17805883938485 0.01840704505941637 -10.437191245848659 0.02363375242757017
3100 0.0 -8.196243990443023 0.031760675149284844 -9.131146241284515 0.01359234000188894 -10.03402954156164 0.02099194245190499 -10.33762607434985 0.02588839607537214
3200 0.0 -8.041819290402163 0.036547456082599405 -8.978930082344402 0.015602578333992182 -9.872445904359527 0.024330825076788146 -10.030244680736814 0.034308891643897596
3300 0.0 -8.046150344088922 0.0364036102264544 -8.88781306737188 0.016947822689583048 -9.75228979283353 0.027156375346288203 -9.945679198539295 0.03707514729105372
3400 0.0 -7.974307956977622 0.038863680367240055 -8.767169219549679 0.018911894849722773 -9.664567120154004 0.02942598018360849 -9.85190826576246 0.040405361397901615
3500 0.0 -7.732142579330734 0.04846364943724008 -8.587901235358466 0.02226458154436781 -9.494570618630306 0.03438211729471871 -9.783727433012377 0.043013839957486984
3600 0.0 -7.613348377540362 0.05401559258725372 -8.412553954590464 0.026125432453814268 -9.31952255864968 0.04036472367113343 -9.663845913164284 0.04801692598882234
3700 0.0 -7.637355426035988 0.052844166073867785 -8.349399674872686 0.027675986284722814 -9.259339659442027 0.04265481692412534 -9.574765614099427 0.05210919080406321
3800 0.0 -7.449753542218037 0.06272681652476729 -8.159043899102137 0.03293404412789063 -8.923837313609468 0.05803166617615896 -8.658648213454235 0.12095131856583141
3900 0.0 -7.282568799106951 0.07309549493260521 -8.078830248834567 0.035441173056895356 -8.90870867524329 0.05884336180581764 -8.235332396529337 0.17854762737227017
4000 0.0 -7.141678989178882 0.08316100814326435 -7.984558421415361 0.03863436891263488 -8.698289745761578 0.07138757297056915 -8.91766263248494 0.09531419621759807
4100 0.0 -7.317682810330734 0.07078338954987347 -8.061824632336815 0.0359969407870356 -8.698159947285074 0.07139620109524568 -8.819348499408441 0.10433291925016183
0001 0.0 -8.302065789943711 0.02885246338287394 -9.400284559707778 0.010659645507702958 -10.28106179810424 0.016757775029497043 -10.607992967274939 0.020216401480290247
0101 0.0 -8.584200789571401 0.022350887274555933 -9.606905885360874 0.008852853096202686 -10.584455490397367 0.012717324938126696 -10.80610700658606 0.01687066172464445
0201 0.0 -8.695982105693105 0.02020725784981962 -9.811825467237398 0.007370143714694489 -10.750329396254614 0.01094159883546185 -11.005379336330968 0.014068076894813672
0301 0.0 -8.898346666390012 0.016845712244900658 -10.01197411609909 0.006168264534017665 -10.954838012646857 0.009334163236759107 -11.248563317983077 0.011276396269882825
0401 0.0 -8.970318519039093 0.015793187373898867 -10.16735804813505 0.0053763604268193 -11.13815534642896 0.007710015802443823 -11.379423615972954 0.01001369768853124
0501 0.0 -9.140246758219245 0.013568348471370343 -10.381273442730738 0.0044556677826366525 -11.329373750397771 0.00649435639118386 -11.551403454247499 0.008569567958768374
0601 0.0 -9.335041762087315 0.011410991193048198 -10.59864677267355 0.0036881480763275216 -11.571649796094928 0.0052316259398759585 -11.760808179772017 0.00709356871725047
0701 0.0 -9.464053953724509 0.010180922139192987 -10.738735407025995 0.003268746551967466 -11.715751245025029 0.004603724748203554 -11.951639203177436 0.005975107636170152
0801 0.0 -9.645097570421708 0.008682992246432162 -10.905012435837907 0.0028359984059149763 -11.895606465782585 0.003928189631301843 -12.107698369356854 0.005195721538131341
0901 0.0 -9.821810958343406 0.0074426546402853126 -11.100370765456773 0.0024049442527284753 -12.064325055415122 0.0033883618843023448 -12.27560973088595 0.004473188089328963
1001 0.0 -9.939917904311447 0.006718909679175304 -11.22380909429079 0.002169650386777539 -12.196410905206587 0.003020401751960361 -12.415517545832145 0.0039507854142491975
1101 0.0 -10.080196291663384 0.005955334273545982 -11.342079418901498 0.0019677289611437303 -12.304376939965422 0.0027510703326075296 -12.524499287721966 0.00358796811227585
1201 0.0 -10.0808759870919 0.005951813872193121 -11.380798412616144 0.001906200857401685 -12.365303125339846 0.0026104453606179165 -12.586466299437099 0.0033973097150084334
1301 0.0 -10.179537264102663 0.005470935935516648 -11.430018725102919 0.0018310543438392662 -12.410625330269141 0.002510817918030223 -12.64298924087942 0.0032326281003669656
1401 0.0 -10.439264703220875 0.004394115591724274 -11.597354421136238 0.0015992400397265862 -12.504472909681816 0.002317211213042513 -12.732733269412535 0.002988100797863578
1501 0.0 -10.26511935085761 0.005087520072204398 -11.5009948718148 0.001728425654850958 -12.450725863392048 0.002426050017485244 -12.671219664422466 0.0031535233747437825
1601 0.0 -10.132098004268904 0.005696710295327397 -11.418250349040505 0.001848713150661283 -12.404989513041627 0.0025229789048420363 -12.640145171329284 0.0032407093080047446
1701 0.0 -10.144331667860357 0.005637558541889959 -11.427471628255788 0.0018348591283808484 -12.404602010113223 0.002523817889811382 -12.642122017097748 0.0032350892488217384
1801 0.0 -10.284833899268605 0.005003359661083826 -11.429976273912139 0.0018311137008265954 -12.359865008623114 0.0026226796727239427 -12.583730305480554 0.003405501421002489
1901 0.0 -10.108950665968528 0.00581051254157698 -11.28256045185541 0.002066624645582192 -12.274645372738199 0.002822591630151797 -12.52707681149245 0.0035798174635191704
2001 0.0 -9.91371057333751 0.0068728174112572 -11.062122413613203 0.002483390057162011 -12.079366357055505 0.003344171404373161 -12.318725487032687 0.004304973725824197
2101 0.0 -9.869430893245163 0.007151733903535695 -11.024429034599624 0.0025634269660604852 -11.967598004040624 0.003687573168278609 -12.175342232744413 0.004891152992349069
