id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -7.003228054135718 0.22236136726858147 -8.020053620753771 0.2179815144283868 -8.936704147602292 0.21906891707522697 -9.27467332845493 0.21988029613122087
0100 0.0 -6.968925941882368 0.22269093725318403 -8.074231636103669 0.21790430519065668 -9.098441188385983 0.21858124124521142 -9.307386364730739 0.21972282937910667
0200 0.0 -7.160386092563389 0.22108463550892682 -8.201089443421168 0.21775057221035482 -9.124132870402079 0.21851613039827888 -9.339377163365477 0.21957760540827492
0300 0.0 -7.209298276214476 0.22075503708088745 -8.276558737733062 0.217674526379217 -9.224563886919206 0.2182888441453673 -9.49493371871742 0.21898000002580179
0400 0.0 -7.266549448469284 0.2204043079790618 -8.389892368334017 0.21757815487544943 -9.334050072866027 0.21810501365275106 -9.587311368080421 0.21869725796694753
0500 0.0 -7.516022799026363 0.21923457875705255 -8.536494758385654 0.21747946302247337 -9.492355832765881 0.2179578899064154 -9.793790314385333 0.2182133934340318
0600 0.0 -7.4282776918816324 0.21958782862225576 -8.575334927518103 0.21745740258073615 -9.534924088287553 0.21779950425851247 -9.783030962518275 0.21823437215427346
0700 0.0 -7.4486133917547335 0.21950093896801334 -8.690519273639033 0.2174003610095172 -9.70273927516407 0.21762971655224436 -9.96103877476315 0.21793499007560585
0800 0.0 -7.510076780230332 0.2192567611829912 -8.7466976061825 0.21737654564896497 -9.678092714996879 0.21765153116160427 -9.885589364160936 0.21805016293285134
0900 0.0 -7.653701808016191 0.21878134020993434 -8.875575738142935 0.21733018997897577 -9.843148120847214 0.2175224361949602 -10.109508694496384 0.21774970086265855
1000 0.0 -7.773501071856209 0.21846869028933075 -8.97732902538079 0.21730044825669825 -9.975035907458071 0.21744372433066037 -10.186478973710145 0.2176716295177194
1100 0.0 -7.805369855891879 0.2183962216010086 -9.086353110449451 0.21727404548660378 -10.05463213732208 0.21740455390386734 -10.239436376410204 0.217623919013495
1200 0.0 -7.880292930506645 0.21824134254881447 -9.172781744056199 0.2172564698035638 -10.169817557604567 0.21735697068650303 -10.376657789976807 0.21751968469844293
1300 0.0 -7.937875980824714 0.21813572006199702 -9.228292016709382 0.21724652552589646 -10.205955267300084 0.21734396897121722 -10.443300817586376 0.2174777024953793
1400 0.0 -8.089200657549675 0.21790494304332722 -9.343604758599358 0.21722874824506164 -10.307610494473067 0.21731162905497484 -10.52757607900189 0.21743138972293408
1500 0.0 -8.107132700797155 0.21788152815661757 -9.391930420909091 0.2172223113710302 -10.375150877268062 0.21729319202507844 -10.598343883232523 0.21739761112166323
1600 0.0 -8.237779302212871 0.21773171121260423 -9.489926782549244 0.2172108266780287 -10.468229073018641 0.2172711866583909 -10.697380917155336 0.21735705102513841
1700 0.0 -8.342325727025177 0.21763463376670633 -9.607797604762233 0.21719939393337007 -10.563694523618487 0.21725212757824994 -10.802000045711079 0.21732141153312248
1800 0.0 -8.390751700394887 0.21759544208140993 -9.66059924969224 0.21719498985769678 -10.626758029701545 0.2172412116145369 -10.868586980475758 0.21730199720011154
1900 0.0 -8.439442140351339 0.21755930000340742 -9.725696658281638 0.2171900898303235 -10.698538680063926 0.21723019537326035 -10.924503651934469 0.21728740317944584
2000 0.0 -8.463652192609356 0.21754245348881393 -9.760277883630124 0.21718770394905182 -10.725796755563518 0.21722636808351478 -10.917667042624302 0.2172891094698868
2100 0.0 -8.632077774267309 0.2174433242105251 -9.867089396423964 0.217181177476814 -10.808846200690404 0.21721579012890394 -11.030617416482535 0.21726344550303708
2200 0.0 -8.56064733799554 0.21748178969424822 -9.835483589979845 0.21718298465615835 -10.83265950316855 0.2172130347234377 -11.041211955235504 0.21726129541358638
2300 0.0 -8.575767586354278 0.21747324115160646 -9.8765981813034 0.21718065300928185 -10.857947103526968 0.21721023345519266 -11.083141335767962 0.2172531772914814
2400 0.0 -8.55045818244167 0.21748768421546713 -9.884559673364457 0.21718022039851395 -10.866338088260456 0.2172093313058624 -11.07912745612563 0.2172539279216401
2500 0.0 -8.644745771878029 0.21743699926698046 -9.909896642743867 0.2171788822040994 -10.891020093091264 0.21720675432316433 -11.128188061375894 0.21724511129793833
2600 0.0 -8.881191220810706 0.21734147182356225 -10.035079920576322 0.21717306337756367 -10.96400033357726 0.21719976280860387 -11.195200952842292 0.21723425722594913
2700 0.0 -8.97912886449745 0.21731214188373477 -10.12314043959362 0.21716965678170574 -11.008067443400464 0.21719595824564797 -11.235708963586404 0.21722830191156503
2800 0.0 -8.856137552155534 0.21734982456007113 -10.055584790406414 0.21717222399438355 -10.963870653232735 0.21719977442481317 -11.1710057627269 0.21723802647771268
2900 0.0 -8.789042558602112 0.21737406665676864 -10.020916785111886 0.2171736607328671 -10.950792846249907 0.21720096202155603 -11.16421181791138 0.21723911442782487
3000 0.0 -8.72006732447921 0.21740215615067615 -9.98012959463631 0.21717546436716936 -10.938235101133749 0.21720212832009636 -11.161473669003357 0.2172395568234483
3100 0.0 -8.615772899892846 0.21745168306015195 -9.907201019042958 0.21717902169151826 -10.907982063737428 0.217205047674073 -11.130719455986402 0.2172446770437365
3200 0.0 -8.578393206919323 0.21747178182494076 -9.9103604841107 0.2171788583142888 -10.895487934316009 0.21720629985842285 -11.15194625541099 0.21724111305682936
3300 0.0 -8.636803137478225 0.2174409510763771 -9.92986710882289 0.2171778680681895 -10.90348817754596 0.2172054948287814 -11.137322706138239 0.2172435535127625
3400 0.0 -8.68573028477417 0.21741747001272252 -9.896730462771998 0.2171795701818872 -10.859290605839 0.21721008786818188 -11.077473414651816 0.21725423889166826
3500 0.0 -8.883926587348796 0.21734058596395925 -9.979889726536594 0.21717547528590625 -10.899587169443244 0.21720588606959998 -11.126482790292158 0.21724540461504782
3600 0.0 -8.756030326644382 0.21738708974877013 -9.89042522624165 0.2171799054245621 -10.823323971531387 0.2172141011259741 -11.065262962020956 0.21725656422213152
3700 0.0 -8.599010849755913 0.21746052313684883 -9.799802242018298 0.21718514681356163 -10.80867679947081 0.21721580986803588 -11.054951000623333 0.21725856754578438
3800 0.0 -8.45031308990901 0.21755164170071342 -9.628880590043476 0.21719758629466437 -10.649160812018742 0.217237620463926 -10.923957381356104 0.2172875387043301
3900 0.0 -8.372119285383576 0.21761011780963121 -9.530614213227608 0.2172066103129158 -10.559838270889912 0.217252835894013 -10.79170035646672 0.21732462862430982
4000 0.0 -8.355263420469882 0.21762383429259058 -9.517007944609222 0.2172079873318405 -10.49140253288974 0.21726625638059885 -10.714365465489621 0.2173507971606856
4100 0.0 -8.45892839644733 0.21754567997179738 -9.592171795429486 0.2172007770083892 -10.49958504883871 0.2172645635073413 -10.709752918529901 0.21735247627389748
4200 0.0 -8.186406147134445 0.2177864676048844 -9.404000419449904 0.2172207871592017 -10.38155547529491 0.21729155662382313 -10.597231073316763 0.2173997298929861
4300 0.0 -8.09896175434882 0.2178920802624327 -9.311397770827206 0.21723335400340227 -10.278877912867056 0.21732017760947087 -10.444940813241772 0.2174840935197136
4400 0.0 -8.0105555883503 0.21801706719130395 -9.24994013575013 0.21724290575491534 -10.193346723545545 0.21734841035224078 -10.393535479398224 0.21750856822383483
4500 0.0 -8.060384924058528 0.21794419870245343 -9.246535318946073 0.217243465907082 -10.273575567576941 0.2173218044143304 -10.454321549747284 0.21747123592829642
4600 0.0 -7.8456017943052 0.2183104781487805 -9.078818032222866 0.21727570946755445 -10.058647357460664 0.2174027227514239 -10.315093027088299 0.21756325300687732
4700 0.0 -7.918030479109273 0.2181708979096212 -9.022275985992621 0.21728893793671542 -9.96371749241667 0.21744976660903856 -10.171461761652886 0.21768601578069854
4800 0.0 -7.699933352192893 0.21865266995688729 -8.896023356743456 0.217323771697826 -9.860671097636246 0.21751086471052636 -10.059308631857178 0.21780683908480686
4900 0.0 -7.7968420087477845 0.21841521725752197 -8.905860302650161 0.21732076631520275 -9.779887682012081 0.2175674111656403 -9.99123744301544 0.21789314415757396
5000 0.0 -7.894863673061909 0.2182135839433414 -8.931663414956056 0.21731312940691414 -9.783370532745717 0.21756479712583482 -9.996654820495444 0.21788587712735266
5100 0.0 -7.948664321633039 0.21811709433158308 -8.842499317641536 0.21734108470942035 -9.672648334955625 0.21765648333141593 -9.877199101654526 0.21806397710782044
5200 0.0 -7.393625805391366 0.2197433523396166 -8.52390733386401 0.2174869507313923 -9.477749258804902 0.2178702188942272 -9.663505616127914 0.2184972603288683
5300 0.0 -7.259798220649355 0.2204438898102133 -8.412347719395665 0.21756129852753217 -9.362638858593265 0.21803693794090773 -9.597103931523154 0.218669982952142
5400 0.0 -7.162396304016514 0.22107051269629344 -8.322197720564311 0.2176333313133374 -9.288725869376734 0.2181639088221929 -9.549640030629714 0.21880686206904282
5500 0.0 -7.203162687563449 0.22079481684469973 -8.241038017371473 0.2177090265171629 -9.069270540751333 0.2186589525269722 -9.293055777502985 0.2197906603692998
5600 0.0 -7.033373537355761 0.2220878949694833 -8.144680101567246 0.21781459222444902 -9.071641419134853 0.21865248297765588 -9.303521568555674 0.21974094834865449
5700 0.0 -6.897196074779686 0.2234487977451908 -8.060300138893748 0.21792344554774074 -8.968106720364872 0.21896271373279078 -9.299926383534885 0.21975792689122883
5800 0.0 -6.903507841223597 0.2233781038774627 -7.947216929989992 0.21809802388747818 -8.926839003111333 0.21910355869270223 -9.175603474109256 0.2204182606251082
5900 0.0 -6.833903878987655 0.2242023633213182 -7.840829525629086 0.2182983665895423 -8.85064431195315 0.2193929915784711 -9.058996640303612 0.22118805592335083
6000 0.0 -6.770468609628008 0.22504744134273538 -7.796409693267194 0.21839414822356756 -8.810860915182936 0.21956077481678615 -8.984743540835716 0.22176964234964208
6100 0.0 -6.900228208817865 0.2234147715983437 -7.732238705536208 0.2185468762637293 -8.638662798325615 0.22044398444938879 -8.853979509038812 0.22300286832291974
6200 0.0 -6.514207719951848 0.22960552030312126 -7.616119368941227 0.21887271399675823 -8.502355751699898 0.2213663281671003 -8.810673607964759 0.22347919639098462
6300 0.0 -6.521779136509203 0.22943956216436573 -7.462401246785227 0.21942423319668516 -8.407634620371969 0.22215437223469667 -8.36802194180379 0.2311566671125715
6400 0.0 -6.419304996763078 0.2318806600697947 -7.436239157594702 0.2195343493057579 -8.194783523565267 0.22449805232514555 -8.311124466280052 0.23264681597282946
6500 0.0 -6.270772840301149 0.2362762415860924 -7.42106113623942 0.2196006711013936 -8.274441302643336 0.2235153232001063 -8.481915311162851 0.22858104145269803
6600 0.0 -6.347811011754583 0.23385804521913112 -7.350373560836729 0.21993467299137856 -8.307722648251818 0.22314431131329987 -8.486282325571036 0.2284920946096993
6700 0.0 -6.5297532749597025 0.22926721633902253 -7.3529910667438365 0.21992151492264456 -8.041835574566292 0.22682269343908365 -8.308829140538318 0.23271009689967614
6800 0.0 -6.5909749523314325 0.22801993960566844 -7.3193861509071425 0.220095059864353 -8.037221406110906 0.2269029989234053 -8.408852468948403 0.23017415915101677
6900 0.0 -6.191285313276424 0.23912436962469408 -7.177662664560394 0.22095462962778697 -8.099804679474445 0.22586694197629717 -8.419417154369647 0.229931066115153
7000 0.0 -6.269857789355235 0.2363070021033934 -7.108349205407794 0.2214619804048636 -8.025906418167999 0.22710289437894923 -8.30221460781749 0.23289378348199866
7100 0.0 -6.103233437199886 0.24275520994487693 -7.214647214049954 0.2207087284708404 -8.21979171937926 0.22417439072609216 -8.416589081326727 0.2299957158228371
7200 0.0 -6.429402053164303 0.23162056105457654 -7.401576765895527 0.21968850692554942 -8.257650121383364 0.2237110146555097 -8.354952682228344 0.2314861544701528
7300 0.0 -6.058386709397151 0.2448177836272432 -6.978439842185633 0.22260087887721103 -7.9013281506965996 0.22958618025088517 -7.981348735194466 0.24479792638797856
7400 0.0 -5.8213679066018145 0.2585974589886702 -6.784639119937793 0.22487601501752963 -7.722247997873026 0.23424297700361324 -7.909750511347227 0.24843840814147547
7500 0.0 -6.196567014904609 0.23892335027687478 -6.899370995726898 0.2234354783349971 -7.825573105774687 0.2313821797298902 -7.634666562407311 0.2670325604699305
7600 0.0 -6.260648725416232 0.23661791394648232 -7.009927245593218 0.22230000104651607 -7.922802938696464 0.2291186694678714 -7.7124908562317245 0.26093453123627053
7700 0.0 -5.626172127767269 0.27449125504112987 -6.65331902835176 0.22692750077749466 -7.773728374536052 0.23275413718081342 -7.344095996082498 0.2972619082700978
