id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -8.467619847861862 0.21856273312126778 -9.391750590163078 0.21741277008358936 -10.321228251208453 0.21774741279666796 -10.638919504410616 0.21803478486152367
0100 0.0 -8.796125597847976 0.21793093878431133 -9.724160236496786 0.21729346842591793 -10.67112373396688 0.21746521823576564 -10.981232847055566 0.2176229197367107
0200 0.0 -9.203041210068754 0.21752593832406913 -10.06103102222212 0.21722753922443938 -11.048508239378911 0.21730802683975317 -11.326623224784171 0.2174011901310367
0300 0.0 -8.868480869566831 0.21783554549650375 -9.990229420424896 0.21723827456134961 -10.862239716624703 0.21737225091319365 -11.126830896226295 0.21751224707577843
0400 0.0 -9.223930382126674 0.21751213542371478 -10.236453582662111 0.2172061630625087 -11.154710625002373 0.2172800608366098 -11.371822980425812 0.21738120876546818
0500 0.0 -9.267239105901943 0.21748512692912553 -10.430212434918207 0.21718920497545863 -11.339681404474689 0.21724255887025423 -11.525901189541173 0.21732424840986503
0600 0.0 -9.225531184456806 0.2175111043867948 -10.482612517203378 0.21718554387023956 -11.425358832863598 0.21722902200763847 -11.642634090427116 0.21729058591959222
0700 0.0 -9.361162496041263 0.21743331817902736 -10.632796840364954 0.2171767643799942 -11.610686401853862 0.21720602983893966 -11.852145243536391 0.21724551448636412
0800 0.0 -9.491364365478606 0.21737455861796817 -10.772753678492393 0.21717044767961227 -11.751966098493149 0.217193008817491 -11.964618633884157 0.2172275400965911
0900 0.0 -9.710048267309375 0.21730214495281402 -10.970149499225979 0.2171638233037758 -11.959164768199997 0.21717901608744392 -12.190057296196798 0.2172008927315846
1000 0.0 -9.76824426476528 0.21728719620079354 -11.056911700778045 0.21716156590850175 -12.047846469616434 0.217174447033635 -12.259062708989504 0.2171946859159191
1100 0.0 -10.226838249634621 0.21721082287879592 -11.294208492153146 0.21715688749287845 -12.179262121182258 0.2171688806112567 -12.385150966153596 0.2171851650613586
1200 0.0 -9.974967339147234 0.21724506663519613 -11.238049139761152 0.21715782672540926 -12.208497149253517 0.21716781025976287 -12.44752404249094 0.21718119896147195
1300 0.0 -9.976976435594167 0.21724472892946267 -11.251465159639544 0.21715759398243656 -12.227028720512791 0.21716716017591187 -12.469708794335276 0.2171798925601251
