id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -8.467619847861862 0.02483433221439738 -9.391750590163078 0.010741896597724964 -10.321228251208453 0.01615585116108238 -10.638919504410616 0.019653069905422912
0100 0.0 -8.796125597847976 0.01846536830143889 -9.724160236496786 0.00797039319368372 -10.67112373396688 0.0117557173080043 -10.981232847055566 0.014380922843383557
0200 0.0 -9.203041210068754 0.012830026923715493 -10.06103102222212 0.005905890669652448 -11.048508239378911 0.00835788705854614 -11.326623224784171 0.010504913968600727
0300 0.0 -8.868480869566831 0.017303197070364897 -9.990229420424896 0.006288376697435577 -10.862239716624703 0.009887932754876287 -11.126830896226295 0.012595768140570812
0400 0.0 -9.223930382126674 0.012593839910089616 -10.236453582662111 0.0050589543814553726 -11.154710625002373 0.007596090063801658 -11.371822980425812 0.010082939622580335
0500 0.0 -9.267239105901943 0.012118423266843294 -10.430212434918207 0.00426925110157632 -11.339681404474689 0.00643468193405137 -11.525901189541173 0.00876953214312218
0600 0.0 -9.225531184456806 0.012576019984863069 -10.482612517203378 0.004078751439874616 -11.425358832863598 0.0059601803237496 -11.642634090427116 0.007891417893903149
0700 0.0 -9.361162496041263 0.011150049391759523 -10.632796840364954 0.0035808844801325196 -11.610686401853862 0.005053231193096136 -11.852145243536391 0.006533705804638435
0800 0.0 -9.491364365478606 0.009938535176423756 -10.772753678492393 0.0031747586459034867 -11.751966098493149 0.0044585677398980015 -11.964618633884157 0.005905922748616106
0900 0.0 -9.710048267309375 0.008203532665280842 -10.970149499225979 0.002683635409305301 -11.959164768199997 0.0037149395428136417 -12.190057296196798 0.004827375114268043
1000 0.0 -9.76824426476528 0.007797523959481141 -11.056911700778045 0.002494284452318634 -12.047846469616434 0.003437468757919396 -12.259062708989504 0.004539530505600286
1100 0.0 -10.226838249634621 0.005255218623443635 -11.294208492153146 0.0020468347982186682 -12.179262121182258 0.0030656896520683706 -12.385150966153596 0.004058530500823083
1200 0.0 -9.974967339147234 0.006518797774692164 -11.238049139761152 0.0021441677171815166 -12.208497149253517 0.002988906173987164 -12.44752404249094 0.003840433496234293
1300 0.0 -9.976976435594167 0.006507533690442628 -11.251465159639544 0.0021204648870717727 -12.227028720512791 0.0029412932473138163 -12.469708794335276 0.0037658305224763803
1400 0.0 -10.049078510086645 0.006116270479223086 -11.31309101532474 0.0020152245193259255 -12.269752825873866 0.002834550091794117 -12.492176239223213 0.0036918056502083167
1500 0.0 -10.038153518110128 0.006173920691433664 -11.274574935764154 0.002080304913807669 -12.242560161204477 0.002902004581977647 -12.48965670406966 0.003700034642393148
1600 0.0 -9.956145257520362 0.006625439479145722 -11.222108108339775 0.0021727123013825216 -12.217578640954379 0.0029654699421688842 -12.45989546399641 0.003798640597549294
1700 0.0 -9.941725761466486 0.0067084345868044185 -11.198933739088048 0.0022149586816269926 -12.1746439224044 0.003078010365888263 -12.39972042626285 0.004006460275706247
1800 0.0 -9.962022772731366 0.006591932996764318 -11.14242664944696 0.002321779423195931 -12.105697659091643 0.0032682653628916896 -12.347620109388107 0.004195916529865381
1900 0.0 -9.239388901567906 0.008581313180526767 -10.260231249946244 0.003467131662522413 -11.148341879248214 0.005208582909955997 -11.387651684919 0.006709019231807081
2000 0.0 -9.135048628207219 0.009977492541134619 -10.15273008116801 0.0040236755118382515 -11.122781928409239 0.005676378387283376 -11.367468101692921 0.007295426332359542
2100 0.0 -9.588431678871842 0.009125227407935628 -10.75289347904209 0.003229264491699687 -11.701240280045507 0.004663241263711958 -11.96683501857926 0.005894193190426294
2200 0.0 -9.629233339919292 0.008804474364358123 -10.752836707080409 0.003229419523359807 -11.662483664120167 0.004826184514928667 -11.858145276964972 0.006498553943533722
2300 0.0 -9.279705298953036 0.011984980311737609 -10.465341906363449 0.004140542601056629 -11.41042203509647 0.006040241746026327 -11.61380116118152 0.008099615608018352
2400 0.0 -9.742368543046926 0.007974854362618597 -10.858714392627924 0.0029496778044957738 -11.778089607418387 0.004356415951499218 -11.918151225795388 0.006157301219738677
2500 0.0 -9.394959966827788 0.01082102597370817 -10.530652099081706 0.003911739294032589 -11.400225039593156 0.0060951526489009915 -11.556279721178509 0.008531753585966015
2600 0.0 -8.936395695661737 0.016280574633192227 -9.939046012536057 0.006580803227275388 -10.858399886611934 0.009922338218627882 -11.052459984479032 0.013477719247776023
2700 0.0 -8.678688751630972 0.020524458551265324 -9.7669734434892 0.007671206396046775 -10.696781606566567 0.011485465092529196 -10.95599739544748 0.01471540785337515
2800 0.0 -8.541680364315706 0.023226017598966312 -9.624238065472902 0.008716353541777622 -10.547942060800473 0.01314599520912466 -10.82547692595331 0.016575124080184692
2900 0.0 -8.354102701205889 0.027522690382556978 -9.42264969632864 0.010447069835273022 -10.337128373942075 0.015923641282968217 -10.602789503656783 0.020312734136015087
3000 0.0 -8.241237487392677 0.030489475320356042 -9.264281830745738 0.012050877664483126 -10.17809679974145 0.018406405942192998 -10.437123460216618 0.023635215537075902
3100 0.0 -8.193780983759275 0.03183179244588798 -9.130905614981096 0.013595299663462311 -10.033691555078459 0.020998419272567483 -10.338998058617491 0.025855900209366334
3200 0.0 -8.040352158840065 0.03659625228234523 -8.979087005435524 0.015600354925592872 -9.872489355891439 0.02432985663296229 -10.029599409894153 0.034329190888973925
3300 0.0 -8.046114196497015 0.03640479395710386 -8.88785553046917 0.016947166762029422 -9.752461699577218 0.027152103156213678 -9.945566421790378 0.03707897964712026
3400 0.0 -7.976048158150533 0.0388021273913721 -8.767243428886395 0.018910615415353896 -9.663736115862612 0.029448365369248036 -9.84971068297926 0.04048690313678436
3500 0.0 -7.733320310022826 0.048411568955002336 -8.588848683737542 0.02224536433249334 -9.49267105378992 0.03444199594506063 -9.78279750028753 0.043050557783581675
