id Li M
0000 425101.12330935843 366637.2381033566
0100 540465.3116182662 531807.8895633295
0200 872836.0200898432 917372.5653578829
0300 770784.9851760397 682295.3704483135
0400 849370.5320620318 721835.726133261
0500 1167607.550309121 1073999.555405467
0600 1205964.9998336136 1116518.462665008
0700 1433854.3612045583 1419644.1606954765
0800 1636932.3069246735 1656236.369744193
0900 1912769.8111154265 1936678.3528691852
1000 2248318.001774587 2365019.765573301
1100 2430652.9126767516 2344803.5352058867
1200 2664262.193892609 2404149.7721508606
1300 2715583.1341202185 2699421.4417545903
1400 2763313.8698988077 2784945.2601045426
1500 2816160.237067396 2746468.42631003
1600 2731471.0018455065 2769513.923176143
1700 2645858.79628041 2756985.0734545183
1800 2510116.7271821965 2468537.0920529114
1900 2333229.807589444 2002586.56129575
2000 8644035.805534242 1511583.9426451714
2100 1808361.847762042 1705070.4045711088
2200 1651371.139019017 1490522.855472213
2300 1455655.7228371967 1376925.0532896686
2400 1203871.3056141848 1186439.4919155252
2500 2018972.96371871 1702678.785844236
2600 848234.1240272376 798369.6461475483
2700 724889.4083160781 681703.1001964279
2800 614883.2035990858 564729.553090183
2900 527787.2352163545 481271.04237194837
3000 440547.5721989837 407686.43302647123
3100 386266.16222959233 366318.49821401783
3200 330599.2599925221 271369.4857182016
3300 300775.479363666 270422.41117335355
3400 264972.88109913265 222399.40509666014
3500 231836.6544243245 203553.82586456393
3600 202393.35439073274 181980.4591697581
3700 179358.98539557104 165833.3372886351
3800 154872.55170028692 121096.680228061
3900 130195.58693774362 92669.39309044233
4000 116341.42437041011 106195.88073840049
4100 102565.19054445284 55114.839557048064
0001 419758.7811395673 389373.9945009029
0101 523229.97068577947 473560.5166552263
0201 642117.1747370837 632873.8455814817
0301 778771.063021197 764995.7303604186
0401 916126.8689924619 887635.1953559811
0501 1069066.9255968414 1023053.2346848485
0601 1336053.1015860839 1323281.7219375663
0701 1616982.0397665226 1650385.8270407766
0801 1835255.5235556345 1847299.9280396788
0901 2162123.4420213206 2192359.167930511
1001 2500827.3993609506 2446357.518608074
1101 2789984.798329012 2821182.428458039
1201 3001115.377012066 3033232.1510998863
1301 3138516.6325606005 3174706.914109608
1401 3428853.928207376 3230683.7207854595
1501 3427232.279096156 3196980.091140786
1601 3253646.897406168 3232768.5583587424
1701 3209676.480682771 3311090.133192878
1801 3151259.8418043023 3092208.1936832317
1901 2961075.071507284 2845247.511248545
2001 2618404.927255348 2806644.316318716
2101 2267644.62934376 2322748.7939810078
2201 1969490.3852029121 1882348.2522388778
2301 1693863.117529584 1661951.0511690478
2401 1506387.3634999425 1538828.7009590918
2501 1228552.331613237 1157776.1634087162
2601 1107035.6810267894 925455.6385949893
2701 869586.1799194872 814927.6733125997
2801 716305.7091030574 679908.0779754996
2901 590556.5425186845 558611.1645361462
3001 520655.46124070376 507936.0789132581
3101 452756.50072676863 442509.2696475689
3201 368280.3285224751 352986.69292361685
3301 279592.40850800596 209500.60620446817
3401 290361.79244561604 279766.28922202863
3501 232163.61934269624 169030.22084948202
3601 230731.80629680995 228068.90564116678
3701 236779.788304176 217162.6275947723
3801 180855.0278414444 188137.48959846303
3901 177632.79275127736 151715.2476968594
4001 132227.5028565131 106001.11240265828
4101 129746.86176878895 119415.66402531443
0002 432082.0051296842 366051.34129900386
0102 547783.1950909775 501894.82626617904
0202 663211.1804994603 640382.514420327
0302 814061.9554664925 777566.1976601591
0402 965102.8113465087 971121.9680202926
0502 1153740.354822689 1116189.0525128061
0602 1467708.32865824 1418537.7576533773
0702 1714853.3509783908 1705354.7488340011
0802 2024864.7816655457 2154360.5470386203
0902 2454966.9266424663 2523774.591168031
1002 2887587.761371008 2774953.4440691173
1102 3279646.9899943755 3205045.3827863797
1202 3561920.064936369 3346357.626214166
1302 3670308.0096964696 3607802.0447824188
1402 4015912.083965769 3961671.3415084183
1502 3830601.513576235 3960239.364229178
1602 3790475.1144630243 3762310.143455281
1702 3842208.6239508907 3627532.099948107
1802 3880706.729906022 3747615.0990021634
1902 3444062.4795343303 3549273.455691737
2002 3191342.2012530775 3079251.265126148
2102 2898899.2600704157 2702002.512521149
2202 2566085.083435091 2471518.0814956967
2302 2089008.1440977128 2088722.4052382202
2402 1746511.5475624374 1678220.565531254
2502 2075784.088377401 1625328.8593716512
2602 3334269.852924715 2451689.928082525
2702 1044149.2333901748 950898.6753050622
2802 893681.8462009027 801437.2455875227
2902 725758.0587062325 643631.0850726942
3002 604927.1534238361 562130.417241238
3102 659954.76223271 569271.3656084927
3202 431090.9769163147 430003.7185575625
3302 363705.56049776607 345936.8073464033
3402 303642.5571540309 266435.776095067
3502 281458.1232667792 269950.74973065726
3602 252060.51889176804 245854.81870564085
3702 215340.89284748948 183915.3718891438
3802 186787.5435131801 154465.24257333268
3902 154200.9129639554 106408.14977233023
4002 156419.11564321836 154567.8034202072
4102 140516.67566303004 126989.66938720913
0003 465576.2057859999 423840.43459707126
0103 565963.0444270314 496867.28723437793
0203 692362.4037123843 644914.0487781651
0303 847777.4255230746 835149.5028552592
0403 1041794.7627017047 1025394.1144684756
0503 1230494.552097648 1158499.45757748
0603 1536676.379342829 1506345.5420544737
0703 1910727.8018977772 1977682.746969577
0803 2217963.220055028 2277378.581908722
0903 3410129.6018898343 3015446.295528788
1003 3234929.2103888514 3103906.2208969947
1103 3782457.1505739675 3588274.9259981937
1203 4244268.868616939 3840178.5216148347
1303 4040490.801028934 3976497.287285678
1403 4163740.63044937 3919276.044996973
1503 4162848.7547537014 4187927.9285820536
1603 4165249.7987469677 4155752.541369208
1703 4298467.6401578775 4336211.827504957
1803 4544515.268136232 4132057.070747045
1903 4123480.9845280102 3920537.7790519446
2003 3795571.811932443 3680338.64394691
2103 3487548.726760907 3289726.0623535155
2203 3021837.350160313 2954310.382100265
2303 2481112.2328681196 2431551.497643275
2403 2088401.7701741531 2084534.359655241
2503 2774870.7889782796 2085178.8870049017
2603 3866345.620527346 2750778.462040711
2703 1271118.3749592388 1093087.7971625607
2803 988170.173478796 952980.7578333963
2903 838414.7935881694 862537.6495586934
3003 708764.923120179 702011.8789988762
3103 564028.6963713054 505714.83378682286
3203 473070.17771340377 414946.77272422664
3303 392490.63249068847 360421.1237248102
3403 305902.5797861002 231715.13031807408
3503 308242.1863830712 264513.3865679162
3603 313956.0011268049 310508.07975673565
3703 217356.87378262865 171120.07084674438
3803 216593.4671094945 215236.10581547857
3903 183884.20484023995 179415.0255935769
4003 175272.38109207165 150607.74161094875
4103 142970.08167749984 128718.56895872898
0004 439287.4735281069 364038.3596742784
0104 576581.3551790253 526430.6236586245
0204 732139.1451107825 705800.6795906065
0304 872810.6450889462 843714.204196272
0404 1058044.641177271 1008136.411285944
0504 1322554.9664695302 1320415.9602107063
0604 1624495.7801826675 1594192.9195895311
0704 1974843.6719006763 1924238.419620368
0804 2403890.82550718 2465461.0056884703
0904 2982630.338254205 2995688.4289224925
1004 3604492.303608724 3538535.3528627227
1104 4303701.600215444 4144985.7129178694
1204 4507655.279469293 4281641.901456125
1304 4476890.674199588 4469976.678743887
1404 4576562.70297967 4396655.732299478
1504 4650567.037815609 4671892.812188966
1604 4770942.632265332 5054985.613845883
1704 5181871.672055532 5064819.167708548
1804 5105879.614460004 5032063.724731546
1904 4731181.209334844 4351807.5633627875
2004 4415419.039888663 4014608.9327178686
2104 4029975.8942716257 3657615.8925995044
2204 3623065.1585207707 3353582.666537513
2304 3055139.9753262233 2930960.081459026
2404 2550777.4754925175 2493595.2576225167
2504 2138103.1946668173 2095285.148224129
2604 1800917.4492484226 1665145.395541159
2704 1466758.9097578463 1395189.903585435
2804 1182417.2343084603 1185066.26191605
2904 990365.9033247725 1046964.8180812609
3004 786029.3263521869 774973.8243396938
3104 632762.0563116182 603854.0239529775
3204 501270.8806911301 426820.82926313585
3304 432330.7080356914 379952.0335865854
3404 354886.6185330809 285308.8563641715
3504 329456.501837809 293126.8684892486
3604 302996.35554138274 283290.64988152566
3704 275995.756409471 229740.42695307906
3804 228209.31599866156 182777.1242909155
3904 196902.0395465457 173362.3515747341
4004 186099.6564314771 168813.19663970356
4104 141330.48382822494 119791.5490427392
0005 459485.6288874184 402427.5587545313
0105 589853.8434880842 587805.778642624
0205 745495.774106505 678771.8974876776
0305 917094.2161723175 918777.8440825242
0405 1104190.7807650901 1066503.7020179755
0505 1386440.5143817752 1371785.6748736296
0605 1724971.3997336058 1691373.425593656
0705 2110734.561318215 2066888.768345053
0805 2837458.301580829 2997229.3679513843
0905 3313618.14601984 3373456.5848183
1005 3965006.2950761626 3782542.9849898033
1105 4542163.152260626 4339106.673575474
1205 4793626.720036289 4382218.42382848
1305 4937753.892132721 4709488.257782846
1405 5394941.967773541 5151945.587528531
1505 5694340.48638008 5287778.435785568
1605 5782819.412779656 5863959.653547111
1705 6188570.730321851 5560890.147729763
1805 5935025.623805338 5450827.009068929
1905 5495826.655924891 5060322.741890611
2005 5210331.754471553 4486201.621587711
2105 4552774.696947107 4239233.772357299
2205 4114940.2071960545 3952925.2046252354
