id z u_mag u_mag_err g_mag g_mag_err i_mag i_mag_err z_mag z_mag_err
0000 0.0 -7.746526346293127 0.024831512231492502 -8.670498136566234 0.010742216996438729 -9.599896394713593 0.01615750549725117 -9.917692161438293 0.0196532122726369
0100 0.0 -8.074867483687267 0.01846601596905261 -9.002924791417879 0.007970507730695749 -9.949895723104849 0.011755809122438928 -10.259942082863848 0.014381857501623064
0200 0.0 -8.481911043858236 0.012829012544711966 -9.3398171827827 0.005905862023300025 -10.327386477650013 0.008357152301013542 -10.605539676083804 0.010503619092618568
0300 0.0 -8.147471736561442 0.017299935441359424 -9.269072443117022 0.006288028614392807 -10.141078920543887 0.009887409023421013 -10.405718762024733 0.01259453900017664
0400 0.0 -8.502498859568604 0.01259621805684577 -9.515168753393148 0.005059245578713939 -10.433403102379234 0.007596691775613117 -10.650488753699872 0.010083989256073601
0500 0.0 -8.54610516283913 0.012117507605608462 -9.70903220057578 0.004269105722354597 -10.618564749369408 0.0064340905075558905 -10.804701398831149 0.00876937656291641
0600 0.0 -8.50421740466042 0.012577076281211285 -9.76137200761227 0.004078826298371616 -10.704078552560897 0.0059605042165636465 -10.921352114931384 0.007891863485856304
0700 0.0 -8.640009439838956 0.011149397705915855 -9.911603028775854 0.0035808055518834958 -10.889535427449449 0.005052924157499679 -11.130948320700764 0.006533573779262484
0800 0.0 -8.77011248553644 0.009938819983556146 -10.051523362650492 0.003174788246525136 -11.030750163696109 0.004458553911111446 -11.243393002342724 0.005905955533379383
0900 0.0 -8.988770448398636 0.008203953329165651 -10.248912510734026 0.0026836755016934237 -11.237912142623564 0.0037150479699207613 -11.468797152296244 0.004827550567587738
1000 0.0 -9.047038522171977 0.0077974313610833694 -10.33568016672913 0.0024943098180544225 -11.32665634730099 0.0034373806970441727 -11.537823475382229 0.004539610444504375
1100 0.0 -9.505080963971675 0.0052576220895138494 -10.57274675992473 0.0020472446028773398 -11.457861674531795 0.00306617171834064 -11.663774994565685 0.004059093848024804
1200 0.0 -9.25375824754655 0.006518739990345066 -10.516827955822716 0.0021441708225928124 -11.487266046907749 0.00298893638460397 -11.726336698680495 0.00384032442761626
1300 0.0 -9.255452094701578 0.006509244961667754 -10.530246259535641 0.002120464071058027 -11.505797679348756 0.002941322888210016 -11.748578020852907 0.00376553543329517
1400 0.0 -9.327856345162843 0.006116285273388364 -10.591868466221303 0.002015229690382774 -11.548543101304421 0.002834526310918537 -11.770963802611387 0.0036917828011699527
1500 0.0 -9.316849266280894 0.0061743719702323325 -10.553350376552796 0.0020803138790920265 -11.521317443608787 0.002902063165950822 -11.76843210571008 0.0037000515628815575
1600 0.0 -9.234885591560381 0.0066256701527578786 -10.500887500041902 0.002172714455841776 -11.496347673214256 0.002965499597386775 -11.73866115736282 0.0037986905336057203
1700 0.0 -9.220441516714562 0.006708811524933285 -10.477701225281539 0.002214982869198683 -11.453386301769186 0.0030781125141504497 -11.678475017728445 0.004006552536271749
